policy,seed,sharpe,maxdd,is_bps,auc,adv_pnl,net_leakage,status,timestamp
uniform_policy,14,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:46.040567
uniform_policy,15,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:54.574551
uniform_policy,16,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:10:02.744143
uniform_policy,17,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:21.955158
uniform_policy,18,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:30.347435
uniform_policy,19,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:38.775661
uniform_policy,20,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:46.845764
uniform_policy,21,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:54.995130
uniform_policy,22,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:03.946943
uniform_policy,23,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:12.377976
uniform_policy,24,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:20.831374
uniform_policy,25,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:29.549816
uniform_policy,26,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:38.054342
uniform_policy,27,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:46.411848
uniform_policy,28,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:54.898823
uniform_policy,29,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:10:03.231534
uniform_policy,30,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:22.227971
uniform_policy,31,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:30.676186
uniform_policy,32,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:39.242752
uniform_policy,33,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:47.502630
uniform_policy,34,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:56.047758
uniform_policy,35,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:04.453198
uniform_policy,36,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:13.145830
uniform_policy,37,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:21.548630
uniform_policy,38,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:30.255561
uniform_policy,39,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:38.832534
uniform_policy,40,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:47.243534
uniform_policy,41,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:55.723382
uniform_policy,42,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:10:03.999073
uniform_policy,43,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:23.416316
uniform_policy,44,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:31.885520
uniform_policy,45,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:40.189505
uniform_policy,46,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:48.210466
